epoch,Train_loss,Validation_loss,Train_f1_score,Train_auroc,Validation_f1_score,Validation_auroc
1,842283.0,nan,0.0037483857024815394,0.6007131704190177,0.0,0.0
2,nan,nan,0.0024060272248504263,0.14702664093079387,0.0,0.0
3,nan,nan,0.0,0.0,0.0,0.0
4,nan,nan,0.0,0.0,0.0,0.0
5,nan,nan,0.0,0.0,0.0,0.0
6,nan,nan,0.0,0.0,0.0,0.0
7,nan,nan,0.0,0.0,0.0,0.0
8,nan,nan,0.0,0.0,0.0,0.0
9,nan,nan,0.0,0.0,0.0,0.0
10,nan,nan,0.0,0.0,0.0,0.0
11,nan,nan,0.0,0.0,0.0,0.0
12,nan,nan,0.0,0.0,0.0,0.0
13,nan,nan,0.0,0.0,0.0,0.0
14,nan,nan,0.0,0.0,0.0,0.0
15,nan,nan,0.0,0.0,0.0,0.0
16,nan,nan,0.0,0.0,0.0,0.0
17,nan,nan,0.0,0.0,0.0,0.0
18,nan,nan,0.0,0.0,0.0,0.0
19,nan,nan,0.0,0.0,0.0,0.0
20,nan,nan,0.0,0.0,0.0,0.0
21,nan,nan,0.0,0.0,0.0,0.0
22,nan,nan,0.0,0.0,0.0,0.0
23,nan,nan,0.0,0.0,0.0,0.0
24,nan,nan,0.0,0.0,0.0,0.0
25,nan,nan,0.0,0.0,0.0,0.0
26,nan,nan,0.0,0.0,0.0,0.0
27,nan,nan,0.0,0.0,0.0,0.0
28,nan,nan,0.0,0.0,0.0,0.0
29,nan,nan,0.0,0.0,0.0,0.0
30,nan,nan,0.0,0.0,0.0,0.0
31,nan,nan,0.0,0.0,0.0,0.0
32,nan,nan,0.0,0.0,0.0,0.0
33,nan,nan,0.0,0.0,0.0,0.0
34,nan,nan,0.0,0.0,0.0,0.0
35,nan,nan,0.0,0.0,0.0,0.0
36,nan,nan,0.0,0.0,0.0,0.0
37,nan,nan,0.0,0.0,0.0,0.0
38,nan,nan,0.0,0.0,0.0,0.0
39,nan,nan,0.0,0.0,0.0,0.0
40,nan,nan,0.0,0.0,0.0,0.0
41,nan,nan,0.0,0.0,0.0,0.0
42,nan,nan,0.0,0.0,0.0,0.0
43,nan,nan,0.0,0.0,0.0,0.0
44,nan,nan,0.0,0.0,0.0,0.0
45,nan,nan,0.0,0.0,0.0,0.0
46,nan,nan,0.0,0.0,0.0,0.0
47,nan,nan,0.0,0.0,0.0,0.0
48,nan,nan,0.0,0.0,0.0,0.0
49,nan,nan,0.0,0.0,0.0,0.0
50,nan,nan,0.0,0.0,0.0,0.0
